pitch_w,pitch,start,小節
A5,93,2.5,10
A4^,82,3,10
A5^,94,3,10
A4^,82,0,11
A5^,94,0,11
A4,81,0.5,11
A5,93,0.5,11
G4,79,1,11
G5,91,1,11
F4,77,1.5,11
F5,89,1.5,11
D4^,75,2,11
D5^,87,2,11
D4,74,2.5,11
D5,86,2.5,11
C4,72,3,11
C5,84,3,11
A3^,70,3.5,11
A4^,82,3.5,11
A3,69,0,12
A4,81,0,12
G3,67,0.5,12
G4,79,0.5,12
F3,65,1,12
F4,77,1,12
D3^,63,1.5,12
D4^,75,1.5,12
D3,62,2,12
D4,74,2,12
C3^,60,2.5,12
C4,72,2.5,12
A2^,58,3,12
A3^,70,3,12
A2,57,0,13
E3,64,0,13
H2,59,0.5,13
D3,62,0.5,13
C3^,60,1,13
E3,64,1,13
D3,62,1.5,13
F3^,66,1.5,13
E3,64,2,13
G3^,68,2,13
F3^,66,2.5,13
A3,69,2.5,13
G3^,68,3,13
H3,71,3,13
A3,69,3.5,13
C4^,73,3.5,13
H3,71,0,14
D4,74,0,14
C4^,73,0.5,14
E4,76,0.5,14
D4,74,1,14
F4^,78,1,14
E4,76,1.5,14
G4^,80,1.5,14
F4^,78,2,14
A4,81,2,14
G4^,80,2.5,14
H4,83,2.5,14
A4,81,3,14
C5^,85,3,14
A4,81,0,15
C5^,85,0,15
G4^,80,0.5,15
H4,83,0.5,15
F4^,78,1,15
A4,81,1,15
E4,76,1.5,15
G4^,80,1.5,15
D4,74,2,15
F4^,78,2,15
C4^,73,2.5,15
E4,76,2.5,15
H3,71,3,15
D4,74,3,15
A3,69,3.5,15
C4^,73,3.5,15
G3^,68,0,16
H3,71,0,16
F3^,66,0.5,16
A3,69,0.5,16
E3,64,1,16
G3^,68,1,16
D3,62,1.5,16
F3,65,1.5,16
C3^,60,2,16
E3,64,2,16
H2,59,2.5,16
E3,64,2.5,16
A2,57,3,16
E3,64,3,16
G3^,68,0,17
H3,71,0,17
F3^,66,0.5,17
A3,69,0.5,17
E3,64,1,17
G3^,68,1,17
D3,62,1.5,17
F3^,66,1.5,17
C3^,60,2,17
E3,64,2,17
H2,59,2.5,17
D3,62,2.5,17
A2,57,3,17
E3,64,3,17
C3^,60,3.5,17
A3,69,3.5,17
D3,62,0,18
H3,71,0,18
E3,64,0.5,18
C4^,73,0.5,18
F3^,66,1,18
D4,74,1,18
G3^,68,1.5,18
E4,76,1.5,18
A3,69,2,18
F4^,78,2,18
H3,71,2.5,18
G4^,80,2.5,18
C4^,73,3,18
A4,81,3,18
D4,74,0,19
H4,83,0,19
E4,76,0.5,19
C5^,85,0.5,19
F4^,78,1,19
D5,86,1,19
G4^,80,1.5,19
E5,88,1.5,19
A4,81,2,19
F5^,90,2,19
H4,83,2.5,19
G5^,92,2.5,19
C5^,85,3,19
A5,93,3,19
C5^,85,0,20
A5,93,0,20
H4,83,0.5,20
G5^,92,0.5,20
A4,81,1,20
F5^,90,1,20
G4^,80,1.5,20
E5,88,1.5,20
F4^,78,2,20
D5,86,2,20
E4,76,2.5,20
C5^,85,2.5,20
D4,74,3,20
H4,83,3,20
C4^,73,3.5,20
A4,81,3.5,20
A2,57,0,21
A3,69,3.5,19
H2,59,0,20
H3,71,0,20
C3^,60,0.5,20
C4^,73,0.5,20
D3,62,1,20
D4,74,1,20
E3,64,1.5,20
E4,76,1.5,20
F3^,66,2,20
F4^,78,2,20
G3^,68,2.5,20
G4^,80,2.5,20
A3,69,3,20
A4,81,3,20
H3,71,3.5,20
H4,83,3.5,20
C4^,73,0,21
C5^,85,0,21
D4,74,0.5,21
D5,86,0.5,21
E4,76,1,21
E5,88,1,21
F4^,78,1.5,21
F5^,90,1.5,21
G4^,80,2,21
G5^,92,2,21
A4,81,2.5,21
A5,93,2.5,21
A4,81,3,21
A5,93,3,21
G4^,80,3.5,21
G5^,92,3.5,21
F4^,78,0,22
F5^,90,0,22
E4,76,0.5,22
E5,88,0.5,22
D4,74,1,22
D5,86,1,22
C4^,73,1.5,22
C5^,85,1.5,22
H3,71,2,22
H4,83,2,22
A3,69,2.5,22
A4,81,2.5,22
G3^,68,3,22
G4^,80,3,22
F3^,66,3.5,22
F4^,78,3.5,22
E3,64,0,23
E4,76,0,23
D3,62,0.5,23
D4,74,0.5,23
C3^,60,1,23
C4^,73,1,23
H2,59,1.5,23
H3,71,1.5,23
A2,57,2,23
A3,69,2,23
